Km;Altitude;PointID;Forest;Grassland;Agriculture;Other
0;876;;86;13;0;1
1;832;E1;86;13;0;1
2;828;;83;15;0;2
3;826;E2;80;17;0;3
4;819;;78;19,25;0;2,75
5;807;;76;21,5;0;2,5
6;789;;74;23,75;0;2,25
7;782;E3;72;26;0;2
8;777;;73;25;0;2
9;722;E4;75;24;0;1
10;635;;76,4;22,4;0;1,2
11;613;;77,8;20,8;0;1,4
12;590;;79,2;19,2;0;1,6
13;570;E5;80,6;17,6;0;1,8
14;542;;82;16;0;2
15;532;E6;89;9;0;2
16;525;;93;6;0;1
17;515;E7;96;2;0;2
18;501;;95;2;0;3
19;496;;95;3;0;2
20;487;;94;4;0;2
21;463;;93;5;0;2
22;451;E8;93;6;0;1
23;427;;93;6;0;1
24;417;;92;6;0;2
25;407;E9;92;6;0;2
26;398;;92,6;5,6;0;1,80000000000001
27;397;;93,2;5,2;0;1,6
28;386;;93,8;4,8;0;1,4
29;374;E10;95;4;0;1
30;372;;95;4;0;1
31;367;;91,33333333;7,333333333;0;1,333333337
32;363;;87,66666667;10,66666667;0;1,66666666
33;360;E11;84;14;0;2
34;351;;86;12,5;0;1,5
35;345;E12;88;11;0;1
36;342;;85,8;12,4;0;1,8
37;340;;83,6;13,8;0;2,6
38;334;;81,4;15,2;0;3,4
39;325;;79,2;16,6;0;4,2
40;323;E13;77;18;0;5
41;316;;63,33333333;30,66666667;0;6
42;309;;49,66666667;43,33333333;1;6
43;307;E14;36;56;1;7
44;300;;29,5;64,5;1;5
45;296;;23;73;2;2
46;294;;23,57142857;72,14285714;2;2,28571429
47;289;;24,14285714;71,28571429;2;2,57142856999999
48;284;;24,71428571;70,42857143;2;2,85714286
49;273;;25,28571429;69,57142857;2;3,14285714
50;267;;25,85714286;68,71428571;2;3,42857143000001
51;260;E16;27;67;2;4
52;256;;27;67;2;4
53;253;;20;72;3,5;4,5
54;250;E17;13;77;5;5
55;245;;11;69,75;13;6,25
56;240;;9;62,5;21;7,5
57;236;;7;55,25;29;8,75
58;232;E18;5;48;37;10
59;230;;6;40,4;43,6;10
60;228;;7;32,8;50,2;10
61;224;;8;25,2;56,8;10
62;219;;9;17,6;63,4;10
63;217;E19;10;10;70;10
64;215;;10;10;70;10
